POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
108,1861.3316,4693.2545,3285.4947,0.0,0.0,0.0,-4792.2006,-19910.5664,2094.781,22914.2297,-2657.0246,121.7212,0.0,10146.324499999999,-2535.3034000000002,7611.021099999998
109,1800.55,4861.1322,3206.1682,0.0,0.0,0.0,-4807.6141,-20003.4635,2071.489,22951.2264,-2594.4157,121.6824,0.0,10079.488199999998,-2472.7333,7606.754899999998
110,1868.4669,4784.9837,3282.7336,0.0,0.0,0.0,-4831.5319,-19943.6443,2091.0726,22900.1975,-2608.8962,119.9877,0.0,10152.278099999998,-2488.9085,7663.369599999997
111,1806.6766,4831.2245,3235.1729,0.0,0.0,0.0,-4807.8377,-19851.4458,2093.9833,22932.0896,-2706.4165,121.7642,0.0,10239.863399999998,-2584.6522999999997,7655.211099999999
112,1881.1477,4811.4878,3219.2155,0.0,0.0,0.0,-4796.1093,-19949.7694,2109.3209,22971.0448,-2626.9577,121.1457,0.0,10246.338,-2505.812,7740.526
113,1773.207,4847.603,3253.825,0.0,0.0,0.0,-4830.4922,-19935.8849,2088.666,23012.9756,-2665.9907,121.9822,0.0,10209.899500000003,-2544.0085,7665.891000000003
114,1777.6984,4786.382,3241.6718,0.0,0.0,0.0,-4765.063,-19888.9267,2079.5076,22906.3135,-2696.2614,122.6976,0.0,10137.583599999998,-2573.5638,7564.019799999999
115,1846.3866,4722.2625,3187.0862,0.0,0.0,0.0,-4807.9402,-19874.7449,2071.7012,22929.2773,-2683.4587,123.0114,0.0,10074.028699999999,-2560.4473000000003,7513.581399999999
116,1801.2083,4839.2366,3233.9509,0.0,0.0,0.0,-4811.6668,-19965.7449,2086.2108,23013.1716,-2638.7454,120.9888,0.0,10196.3665,-2517.7565999999997,7678.6099
117,1781.5217,4832.4486,3220.4144,0.0,0.0,0.0,-4834.6435,-19880.4768,2092.6595,22840.7189,-2621.7214,120.143,0.0,10052.6428,-2501.5784,7551.064399999999
118,1807.9647,4787.6678,3278.4872,0.0,0.0,0.0,-4791.1981,-19902.4068,2134.0088,22946.6222,-2671.2093,121.7144,0.0,10261.1458,-2549.4949,7711.6509
119,1887.4391,4845.1468,3236.5136,0.0,0.0,0.0,-4784.7436,-19947.9798,2063.2659,22968.0065,-2656.8951,122.0057,0.0,10267.6485,-2534.8894,7732.759099999999
120,1833.8103,4766.1146,3268.6329,0.0,0.0,0.0,-4803.8667,-20050.6854,2076.7297,23088.1866,-2594.0481,120.3189,0.0,10178.922000000002,-2473.7291999999998,7705.1928000000025
121,1805.2568,4773.3412,3262.746,0.0,0.0,0.0,-4816.9587,-20088.6715,2092.1252,23097.2025,-2582.3175,118.5469,0.0,10125.041500000001,-2463.7706000000003,7661.270900000001
122,1827.3189,4742.0868,3269.981,0.0,0.0,0.0,-4781.6181,-19949.7419,2109.0244,23087.8832,-2697.5076,122.0882,0.0,10304.9343,-2575.4193999999998,7729.514900000001
123,1805.8908,4686.0132,3289.0985,0.0,0.0,0.0,-4823.9861,-20000.2942,2085.4254,23012.584,-2605.9672,119.8955,0.0,10054.7316,-2486.0717,7568.659899999999
124,1818.8963,4743.76,3199.1637,0.0,0.0,0.0,-4795.6346,-20009.1489,2102.634,23021.8958,-2617.3877,123.0426,0.0,10081.566299999997,-2494.3451000000005,7587.221199999996
125,1773.9299,4849.3074,3229.3627,0.0,0.0,0.0,-4807.8855,-19973.4345,2099.5873,23068.527,-2674.1761,122.1834,0.0,10239.3943,-2551.9927000000002,7687.401599999999
126,1840.3981,4815.2689,3237.3161,0.0,0.0,0.0,-4779.4378,-19945.3466,2089.3708,23117.4193,-2704.3597,123.2776,0.0,10374.988800000003,-2581.0821,7793.906700000003
127,1796.4315,4800.859,3208.2145,0.0,0.0,0.0,-4754.8275,-19842.3398,2098.6628,22979.6928,-2748.0554,124.3767,0.0,10286.6933,-2623.6787000000004,7663.0146
128,1776.8466,4834.5616,3236.2484,0.0,0.0,0.0,-4854.3919,-19906.8494,2104.5015,22942.0883,-2655.6155,121.6374,0.0,10133.0051,-2533.9781,7599.027
129,1809.2775,4790.6662,3309.7414,0.0,0.0,0.0,-4825.2161,-19849.2248,2103.6386,22945.8911,-2740.0728,122.362,0.0,10284.7739,-2617.7108,7667.0631
130,1763.2973,4845.7892,3256.6378,0.0,0.0,0.0,-4796.0828,-19901.0934,2110.1143,22955.5543,-2701.8287,120.5598,0.0,10234.216699999997,-2581.2689,7652.947799999997
131,1830.6216,4716.7926,3257.5313,0.0,0.0,0.0,-4836.6477,-19974.7169,2106.5413,23056.5699,-2659.6677,120.8211,0.0,10156.6921,-2538.8466,7617.8455
132,1786.15,4824.9069,3320.2934,0.0,0.0,0.0,-4814.3474,-19934.7969,2089.6083,22927.9706,-2667.0804,121.7464,0.0,10199.784899999999,-2545.334,7654.450899999999
133,1820.6545,4805.7103,3251.6177,0.0,0.0,0.0,-4808.6989,-19971.2905,2083.5236,22920.1944,-2599.8104,121.1601,0.0,10101.7111,-2478.6503,7623.0608
134,1825.2629,4810.1102,3250.884,0.0,0.0,0.0,-4822.4761,-19951.871,2085.6906,22935.0308,-2617.6965,119.8967,0.0,10132.6314,-2497.7998000000002,7634.8316
135,1769.5786,4767.594,3232.4062,0.0,0.0,0.0,-4814.6404,-20011.4769,2073.1353,22979.2461,-2596.0639,119.972,0.0,9995.842899999998,-2476.0919,7519.7509999999975
136,1815.1072,4833.1655,3277.7226,0.0,0.0,0.0,-4839.106,-19962.748,2083.3527,22901.9323,-2581.2351,120.5464,0.0,10109.4263,-2460.6886999999997,7648.7375999999995
137,1765.2326,4881.1925,3302.4574,0.0,0.0,0.0,-4807.5786,-20080.0389,2094.4034,22985.0975,-2523.1924,120.2471,0.0,10140.765899999999,-2402.9453,7737.820599999998
